선반ID,모듈,단,공급코드,상품명,규격,운영 상품군,중요도,취급 권장,페이싱,배정 근거,조건
W4/S5,W4,S5,pd0002477,경옥고,30p*2EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S2,G4-U-2,S2,pd0002195,고려은단 멀티비타민 올인원 맨60+,30T,멀티비타민·미네랄,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S2,G4-U-2,S2,pd0002197,고려은단 멀티비타민 올인원 우먼60+,30T,멀티비타민·미네랄,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S2,G4-U-2,S2,pd0002198,고려은단 메가도스 이뮨샷,(3정+50ml)4병,멀티비타민·미네랄,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S2,W4,S2,pd0002199,고려은단 메가도스B 비타민B군,30T,비타민B 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S3,G3-U-1,S3,pd0002200,고려은단 메가도스B7 활성비오틴,60T,비오틴·모발 영양,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S5,G4-U-2,S5,pd0002202,고려은단 메가도스D 비타민D 4000IU,60T,칼슘·비타민D,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S5,G4-U-2,S5,pd0002203,고려은단 비타민C1000 이지+비타민D,120T,칼슘·비타민D,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002493,광동쌍화탕,100ml*10EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002060,광동우황청심원,1환*10EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002062,광동우황청심원,50ml,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002064,광동우황청심원원방,50ml,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002066,광동원방우황청심환,10환,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0002253,까스활명수큐액,75mL*10EA,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0001888,꼬마활명수액,10mL*5포,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S5,L2,S5,pd0000066,나들이시럽,4포,멀미 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001962,나조린점안액,10EA,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-1/S4,G6-U-1,S4,pd0001866,노스엣액(30ml),30ml,다한증 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-1/S4,G6-D-1,S4,pd0001938,녹십자아시클로버크림,5g,립 외용 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001979,뉴브이로토이엑스점안액,12mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000235,뉴트리원 비비랩 올리브 블러드 오렌지 듀얼샷,20g*10포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000233,뉴트리원 비비랩 올리브레몬 듀얼샷,20g*10포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000234,뉴트리원 비비랩 유기농 올리브 석류 듀얼샷,20g*10포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0000236,뉴트리원 비비랩 유기농 올리브엔 토마토듀얼샷,20g*10포,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G4-D-2/S5,G4-D-2,S5,pd0000243,뉴트리원 비비랩 카무트 브랜드 밀 효소 골드,3g*20포,효소 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-1/S3,G4-U-1,S3,pd0000246,뉴트리원 비비랩 콜라겐 탱글 업,20g*14포,콜라겐·이너뷰티,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-1/S3,G4-U-1,S3,pd0000237,뉴트리원 비비랩 화이트 콜라겐,3g*30포,콜라겐·이너뷰티,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S5,G4-D-2,S5,pd0000248,뉴트리원 비비랩 효소 말차라떼맛,2.5g*20포,효소 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S5,G4-D-2,S5,pd0000247,뉴트리원 비비랩 효소 밀크티맛,2.5g*20포,효소 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-2/S5,G4-U-2,S5,pd0000249,뉴트리원 비타민D3 3000IU,100mg*60C,칼슘·비타민D,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S3,G4-D-2,S3,pd0000259,뉴트리원 비피더스 100억 밸런스 유산균,350mg*30C,유산균,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0000227,니아르 퓨어애사비,28T,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G3-D-2/S5,G3-D-2,S5,pd0001438,닥터리쥬진 하이퍼인퓨전 멜라포엑스,50ml,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-U-1/S5,G5-U-1,S5,pd0001440,닥터리쥬진 하이퍼인퓨전 브이원 리페어 마스크,4P,마스크팩·패드,C,대체 후보,1,면 단위(G5-U) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G6-D-2/S5,G6-D-2,S5,pd0001439,닥터리쥬진 하이퍼인퓨전 앤에이디 엔엠엔 아이크림 맥스,20ml,눈가 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-2/S2,G6-U-2,S2,pd0002089,닥터원더 악어꿈치팩,9g,풋 케어 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B3/S5,B3,S5,pd0000107,닥터플러스 KF94 황사마스크 (대형/백색/새부리형),1매,마스크·위생 소모품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0002475,더가볍게늘씬수,500mL,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
W2/S5,W2,S5,pd0001839,더마터치 스페셜 기프트 세트,,화장품 기획·복합 세트,H,확인 후 검토,1,권장 주 진열에 지정된 모듈,분류·표시 확인 후 진열
L2/S2,L2,S2,pd0000023,더블자임정,10T,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-1/S5,G3-D-1,S5,pd0001851,도미나크림,60g,기미·색소 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002459,동아박카스D,20EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S2,G3-U-1,S2,pd0002258,두피나액,30ml,탈모·두피 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S3,G3-U-1,S3,pd0002259,두피앤액,30ml,탈모·두피 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-U-1/S4,G6-U-1,S4,pd0001865,드라이언액,30ml,다한증 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-3/S2,G3-U-3,S2,pd0002217,드림굿연질캡슐,10C,수면 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S2,G3-U-2,S2,pd0001978,디어미순정,28T,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S2,G3-U-2,S2,pd0001981,디어미정,21T,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002386,라라올라,30vial,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-2/S3,G4-D-2,S3,pd0002378,락토핏 슬림(분홍색),60포,유산균,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L3/S3,L3,S3,pd0001950,레이디원 연질캡슐,10c,경구 해열·진통제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S2,G6-D-2,S2,pd0001968,로토지파이뉴점안액,11mL,점안·세안 의약품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002006,리버골드파워연질캡슐,120c,간 관련 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002490,리버쿨환,1p,간 관련 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S4,G5-D-3,S4,pd0001939,리쥬닉크림(PDRN),20ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S2,G5-D-3,S2,pd0002334,리쥬란 리밸런싱 토너,120ml,PDRN 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S3,G5-D-3,S3,pd0002344,리쥬란 리프레싱 에멀전,45ml,PDRN 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-U-1/S2,G4-U-1,S2,pd0002331,리쥬비엔 디엔에이 핏 젤리,5g*14p,콜라겐·이너뷰티,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S3,W4,S3,pd0002411,마그비스피드액,20ml*30병,마그네슘 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S5,G6-D-2,S5,pd0001319,마리나비 리페어 아이크림,30ml,눈가 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S3,G3-D-2,S3,pd0001318,마리나비 비타민C 25 펄 브라이트닝 세럼,30ml,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-U-3/S3,G1-U-3,S3,pd0001321,마리나비 씨위드 PDRN 바디스크럽,200ml,바디 세정,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S4,G5-D-3,S4,pd0001322,마리나비 씨위드 PDRN 페이스 스크럽,120ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G3-D-2/S4,G3-D-2,S4,pd0001323,마리나비 씨위드 펄 브라이트닝 마스크,120ml,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-U-2/S4,G5-U-2,S4,pd0001316,마리나비 켈프시카카밍 마스크팩,10매,진정 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-U-2/S5,G5-U-2,S5,pd0001324,마리나비 켈프시카카밍 마스크팩(5매),5매,진정 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-U-2/S3,G5-U-2,S3,pd0001317,마리나비 켈프시카카밍 세럼,30ml,진정 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-U-2/S4,G5-U-2,S4,pd0001315,마리나비 켈프시카카밍 크림,50ml,진정 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-3/S5,G3-D-3,S5,pd0001320,마리나비 트루마일드 선스크린,50ml,자외선차단,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S5,G6-D-2,S5,pd0001189,마미케어 오쏘타민 비타민C 아이크림 15ml,15ml,눈가 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-2/S2,G3-U-2,S2,pd0001990,마이보라정,21T,여성 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-3/S4,G3-U-3,S4,pd0002218,매일매일 식물성 멜라토닌 밤,30정,수면 관련 식품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S3,L1,S3,pd0002426,맥그론과립(맥문동탕),5포,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-1/S2,G4-D-1,S2,pd0002412,메가비타민C3000 비타블로썸,120포,비타민C 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S2,G5-D-3,S2,pd0002355,메디인랩 듀얼PDRN카밍크림,20g,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G1-D-3/S5,G1-D-3,S5,pd0001158,메디큐브 2024 제로 모공 패드 2.0,70매,피지·모공 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-1/S5,G6-D-1,S5,pd0001174,메디큐브 PDRN 립 슬리핑 마스크 10g,10g,립 보습 화장품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S3,G5-D-3,S3,pd0001173,메디큐브 PDRN 콜라겐 캡슐 크림,55g,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S4,G5-D-3,S4,pd0001180,메디큐브 PDRN 핑크 비타 코팅 마스크팩,10매,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S2,G5-D-3,S2,pd0001171,메디큐브 PDRN 핑크 시카 수딩 토너 250ml,250ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S3,G5-D-3,S3,pd0001175,메디큐브 PDRN 핑크 카페인 나이트 랩핑 마스크 75ml,75ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S4,G5-D-3,S4,pd0001179,메디큐브 PDRN 핑크 콜라겐 겔 마스크팩,4매,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S2,G5-D-3,S2,pd0001172,메디큐브 PDRN 핑크 콜라겐 토닝 겔 토너패드,120ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S3,G5-D-3,S3,pd0001170,메디큐브 PDRN 핑크 펩타이드 세럼 30ml,30ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G3-D-2/S5,G3-D-2,S5,pd0001177,메디큐브 나이아신아마이드 트라넥사믹 애씨드 세럼 30ml,30ml,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S2,G3-D-2,S2,pd0001178,메디큐브 나이아신아마이드 트라넥사믹 캡슐크림,55g,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S5,G5-D-2,S5,pd0001162,메디큐브 딥 비타 에이 레티놀 세럼 30ml,30ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S3,G3-D-2,S3,pd0001183,메디큐브 딥 비타C 글루타치온 브라이트닝마스크팩,1매,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S2,G5-D-2,S2,pd0001184,메디큐브 딥 펩타이드 래디언스 마스크팩,1매,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-3/S4,G5-D-3,S4,pd0002354,메디큐브 메디큐브_PDRN_피디알엔핑크콜라겐글로우젤리미스트세럼,60ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G5-D-3/S2,G5-D-3,S2,pd0001176,메디큐브 메디큐브_PDRN_피디알엔핑크콜라겐글로우젤리미스트세럼_60 ml_00,60ml,PDRN 스킨케어,C,대체 후보,1,면 단위(G5-D) → 상품군 일치 하위모듈,대체 후보 채택 · 1F 시작
G1-D-3/S2,G1-D-3,S2,pd0001157,메디큐브 제로 모공 블랙헤드 머드팩,100g,피지·모공 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G1-D-3/S3,G1-D-3,S3,pd0001185,메디큐브 제로 모공 쿨링 마스크팩,1매,피지·모공 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-2/S4,G3-D-2,S4,pd0001182,메디큐브 코직애씨드 터메릭 브라이트닝 겔 마스크팩,4매,톤·브라이트닝 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S3,G5-D-2,S3,pd0001169,메디큐브 콜라겐 나이트 랩핑마스크 75ml,75ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S5,G5-D-2,S5,pd0001186,메디큐브 콜라겐 리프팅 마스크팩,1매,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S2,G5-D-2,S2,pd0001167,메디큐브 트리플 콜라겐 세럼 4.0 55ml,55ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S3,G5-D-2,S3,pd0001168,메디큐브 트리플 콜라겐 크림 4.0 50ml,50ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G5-D-2/S5,G5-D-2,S5,pd0001166,메디큐브 트리플 콜라겐 토너 4.0 140ml,140ml,탄력·주름 스킨케어,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0000024,메모큐액,10mL*30병*2EA,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-1/S5,G3-D-1,S5,pd0002552,멜라텐션크림2%,20g*2,기미·색소 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-1/S3,G3-D-1,S3,pd0002551,멜라텐션크림4%,20g*2,기미·색소 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-D-1/S5,G3-D-1,S5,pd0001846,멜라토닝크림 50g,50g,기미·색소 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S4,L1,S4,pd0002537,모드코에스연질캡슐,10c,비염·알레르기 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L1/S5,L1,S5,pd0002535,모드코프에스연질캡슐,10c,기침·인후 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S2,G3-U-1,S2,pd0002010,모바렌캡슐,180c,탈모·두피 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G3-U-1/S3,G3-U-1,S3,pd0002256,미녹시딜액3%,200ml,탈모·두피 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G6-D-2/S3,G6-D-2,S3,pd0000109,바슈롬 리뉴 후레쉬용액 355ml,355ml,렌즈·눈꺼풀 위생,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-1/S2,G2-U-1,S2,pd0001903,바스포연고,10g,상처 항균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002450,박카스O,20병,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S5,W4,S5,pd0002473,박카스디카페,120ml,자양강장·한방 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0002387,반사신과립(반하사심탕엑스과립),4g*5포,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
L2/S2,L2,S2,pd0002034,백초시럽플러스,10P,소화·위장 상담약,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
RF1/S2,RF1,S2,pd0002514,베지핏 레드비트,60정,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0002273,베지핏 석류,60정,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0002515,베지핏 콜리플라워,60정,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
RF1/S2,RF1,S2,pd0002271,베지핏 튜메릭(강황생강),60정,건강즙·차·음료,N,초도 비권장,1,냉장·상온 음료 → 오픈 냉장고,초도 비권장 판정 재확인
G2-U-1/S3,G2-U-1,S3,pd0002376,벤트플라겔,15g,상처·피부손상 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S2,W4,S2,pd0001999,비맥스액티브정,60T*2EA,비타민B 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S2,W4,S2,pd0002001,비맥스에버프리미엄정,60정*2,비타민B 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W4/S2,W4,S2,pd0002000,비맥스제트,100정,비타민B 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G4-D-1/S5,G4-D-1,S5,pd0001993,비타민씨정1000mg,600T,비타민C 경구제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
W5/S3,W5,S3,pd0002015,사뮤르 이너뷰티 홍삼스틱,10g*55포,홍삼 제품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
B3/S4,B3,S4,pd0002111,살룸 속옷 보관 파우치,1개입,여행·생활용품,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
G2-U-1/S2,G2-U-1,S2,pd0001900,상아후시메드연고,10g,상처 항균 외용제,C,대체 후보,1,권장 주 진열에 지정된 모듈,대체 후보 채택 · 1F 시작
