엔드캡,주테마,매대명,선반ID,단,현재 운영상태,브랜드,제조·공급,소구점,채널등급,조치,비고
G2-ER,피부약·상처 보호,Wound Cover,G2-ER/S2,S2,테마 진열,케어리브,니치반,습윤 밴드·드레싱,3,브랜드존 편입,케어리브 블록(기존 테마 진열 유지)
G2-ER,피부약·상처 보호,Wound Cover,G2-ER/S3,S3,테마 진열,케어리브,니치반,습윤 밴드·드레싱,3,브랜드존 편입,케어리브 블록(기존 테마 진열 유지)
G2-ER,피부약·상처 보호,Wound Cover,G2-ER/S4,S4,확장 여유,케어리브,니치반,습윤 밴드·드레싱,3,브랜드존 신설,케어리브 블록
G2-ER,피부약·상처 보호,Wound Cover,G2-ER/S5,S5,확장 여유,케어리브,니치반,습윤 밴드·드레싱,3,브랜드존 신설,케어리브 블록
G2-EL,피부약·상처 보호,Scar Finder,G2-EL/S1,S1,안내,이지덤,대웅제약,습윤 드레싱,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G2-EL,피부약·상처 보호,Scar Finder,G2-EL/S2,S2,테마 진열,이지덤,대웅제약,습윤 드레싱,3,브랜드존 편입,이지덤 블록(기존 테마 진열 유지)
G2-EL,피부약·상처 보호,Scar Finder,G2-EL/S3,S3,테마 진열,이지덤,대웅제약,습윤 드레싱,3,브랜드존 편입,이지덤 블록(기존 테마 진열 유지)
G2-EL,피부약·상처 보호,Scar Finder,G2-EL/S4,S4,확장 여유,이지덤,대웅제약,습윤 드레싱,3,브랜드존 신설,이지덤 블록
G2-EL,피부약·상처 보호,Scar Finder,G2-EL/S5,S5,확장 여유,이지덤,대웅제약,습윤 드레싱,3,브랜드존 신설,이지덤 블록
G1-EL,피부약·상처 보호,Acne Finder,G1-EL/S1,S1,안내,아크로패스,라파스,마이크로니들 패치,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G1-EL,피부약·상처 보호,Acne Finder,G1-EL/S2,S2,안내,아크로패스,라파스,마이크로니들 패치,3,브랜드존 편입,아크로패스 블록(기존 안내 유지)
G1-EL,피부약·상처 보호,Acne Finder,G1-EL/S3,S3,안내,아크로패스,라파스,마이크로니들 패치,3,브랜드존 편입,아크로패스 블록(기존 안내 유지)
G1-EL,피부약·상처 보호,Acne Finder,G1-EL/S4,S4,확장 여유,아크로패스,라파스,마이크로니들 패치,3,브랜드존 신설,아크로패스 블록
G1-EL,피부약·상처 보호,Acne Finder,G1-EL/S5,S5,확장 여유,아크로패스,라파스,마이크로니들 패치,3,브랜드존 신설,아크로패스 블록
G4-ER,영양·건강 선물,Daily Nutrition,G4-ER/S1,S1,안내,고려은단,고려은단,약국 비타민,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G4-ER,영양·건강 선물,Daily Nutrition,G4-ER/S2,S2,테마 진열,고려은단,고려은단,약국 비타민,3,브랜드존 편입,고려은단 블록(기존 테마 진열 유지)
G4-ER,영양·건강 선물,Daily Nutrition,G4-ER/S3,S3,테마 진열,고려은단,고려은단,약국 비타민,3,브랜드존 편입,고려은단 블록(기존 테마 진열 유지)
G4-ER,영양·건강 선물,Daily Nutrition,G4-ER/S4,S4,확장 여유,고려은단,고려은단,약국 비타민,3,브랜드존 신설,고려은단 블록
G4-ER,영양·건강 선물,Daily Nutrition,G4-ER/S5,S5,확장 여유,고려은단,고려은단,약국 비타민,3,브랜드존 신설,고려은단 블록
G4-EL,영양·건강 선물,Inner Beauty,G4-EL/S1,S1,안내,에버콜라겐,뉴트리,먹는 콜라겐,2,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G4-EL,영양·건강 선물,Inner Beauty,G4-EL/S2,S2,테마 진열,에버콜라겐,뉴트리,먹는 콜라겐,2,브랜드존 편입,에버콜라겐 블록(기존 테마 진열 유지)
G4-EL,영양·건강 선물,Inner Beauty,G4-EL/S3,S3,테마 진열,에버콜라겐,뉴트리,먹는 콜라겐,2,브랜드존 편입,에버콜라겐 블록(기존 테마 진열 유지)
G4-EL,영양·건강 선물,Inner Beauty,G4-EL/S4,S4,확장 여유,에버콜라겐,뉴트리,먹는 콜라겐,2,브랜드존 신설,에버콜라겐 블록
G4-EL,영양·건강 선물,Inner Beauty,G4-EL/S5,S5,확장 여유,에버콜라겐,뉴트리,먹는 콜라겐,2,브랜드존 신설,에버콜라겐 블록
G3-EL,더마·세정·선케어,Tone & Sun,G3-EL/S1,S1,안내,마데카파마시아,동국제약,센텔라·재생,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G3-EL,더마·세정·선케어,Tone & Sun,G3-EL/S2,S2,테마 진열,마데카파마시아,동국제약,센텔라·재생,3,브랜드존 편입,마데카파마시아 블록(기존 테마 진열 유지)
G3-EL,더마·세정·선케어,Tone & Sun,G3-EL/S3,S3,테마 진열,마데카파마시아,동국제약,센텔라·재생,3,브랜드존 편입,마데카파마시아 블록(기존 테마 진열 유지)
G3-EL,더마·세정·선케어,Tone & Sun,G3-EL/S4,S4,확장 여유,마데카파마시아,동국제약,센텔라·재생,3,브랜드존 신설,마데카파마시아 블록
G3-EL,더마·세정·선케어,Tone & Sun,G3-EL/S5,S5,확장 여유,마데카파마시아,동국제약,센텔라·재생,3,브랜드존 신설,마데카파마시아 블록
G6-ER,일반약·여행·생활,Walk Comfort,G6-ER/S1,S1,안내,신신,신신제약,파스·외용,3,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G6-ER,일반약·여행·생활,Walk Comfort,G6-ER/S2,S2,테마 진열,신신,신신제약,파스·외용,3,브랜드존 편입,신신 블록(기존 테마 진열 유지)
G6-ER,일반약·여행·생활,Walk Comfort,G6-ER/S3,S3,테마 진열,신신,신신제약,파스·외용,3,브랜드존 편입,신신 블록(기존 테마 진열 유지)
G6-ER,일반약·여행·생활,Walk Comfort,G6-ER/S4,S4,확장 여유,신신,신신제약,파스·외용,3,브랜드존 신설,신신 블록
G6-ER,일반약·여행·생활,Walk Comfort,G6-ER/S5,S5,확장 여유,신신,신신제약,파스·외용,3,브랜드존 신설,신신 블록
G3-ER,일반약·여행·생활,Scalp & Rest,G3-ER/S1,S1,안내,,,,,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G3-ER,일반약·여행·생활,Scalp & Rest,G3-ER/S2,S2,테마 진열,,,,,유지,두피·휴식 테마에 부합하는 전문 채널 브랜드 후보 없음. 안내·확장 여유 유지
G3-ER,일반약·여행·생활,Scalp & Rest,G3-ER/S3,S3,테마 진열,,,,,유지,두피·휴식 테마에 부합하는 전문 채널 브랜드 후보 없음. 안내·확장 여유 유지
G3-ER,일반약·여행·생활,Scalp & Rest,G3-ER/S4,S4,확장 여유,,,,,유지,두피·휴식 테마에 부합하는 전문 채널 브랜드 후보 없음. 안내·확장 여유 유지
G3-ER,일반약·여행·생활,Scalp & Rest,G3-ER/S5,S5,확장 여유,,,,,유지,두피·휴식 테마에 부합하는 전문 채널 브랜드 후보 없음. 안내·확장 여유 유지
G1-ER,더마·세정·선케어,Pore & Body,G1-ER/S1,S1,안내,,,,,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G1-ER,더마·세정·선케어,Pore & Body,G1-ER/S2,S2,테마 진열,,,,,유지,엠디스픽이 9건 배치되어 있으나 제조·채널 미확인. 확인 후 재검토
G1-ER,더마·세정·선케어,Pore & Body,G1-ER/S3,S3,테마 진열,,,,,유지,엠디스픽이 9건 배치되어 있으나 제조·채널 미확인. 확인 후 재검토
G1-ER,더마·세정·선케어,Pore & Body,G1-ER/S4,S4,확장 여유,,,,,유지,엠디스픽이 9건 배치되어 있으나 제조·채널 미확인. 확인 후 재검토
G1-ER,더마·세정·선케어,Pore & Body,G1-ER/S5,S5,확장 여유,,,,,유지,엠디스픽이 9건 배치되어 있으나 제조·채널 미확인. 확인 후 재검토
G6-EL,립·눈·다리·구강,Lip & Eye,G6-EL/S1,S1,안내,,,,,유지(안내),개구 100mm·상품높이 80mm. 상품 진열 부적합
G6-EL,립·눈·다리·구강,Lip & Eye,G6-EL/S2,S2,테마 진열,,,,,유지,립·눈 테마 전용 전문 채널 브랜드 후보 없음
G6-EL,립·눈·다리·구강,Lip & Eye,G6-EL/S3,S3,테마 진열,,,,,유지,립·눈 테마 전용 전문 채널 브랜드 후보 없음
G6-EL,립·눈·다리·구강,Lip & Eye,G6-EL/S4,S4,확장 여유,,,,,유지,립·눈 테마 전용 전문 채널 브랜드 후보 없음
G6-EL,립·눈·다리·구강,Lip & Eye,G6-EL/S5,S5,확장 여유,,,,,유지,립·눈 테마 전용 전문 채널 브랜드 후보 없음
